!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1978,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1977,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1976,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1975,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1974,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1973,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1972,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1971,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1970,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1969,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1968,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1967,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1966,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1965,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1964,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1963,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1962,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1961,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1960,171
